lead_time,total_stay,adr,total_guests,total_of_special_requests,hotel,arrival_date_month,market_segment,distribution_channel,customer_type,deposit_type,is_repeated_guest,actual_is_canceled,pred_cancel_prob
195,3,26.64,1.0,2,Resort Hotel,March,Online TA,TA/TO,Transient,No Deposit,0,0,0.1736056324951313
55,2,148.8,3.0,2,City Hotel,June,Direct,Direct,Transient,No Deposit,0,0,0.06251611450951154
176,3,168.0,2.0,2,City Hotel,May,Online TA,TA/TO,Transient,No Deposit,0,1,0.29997195287512884
247,3,110.0,2.0,0,City Hotel,October,Groups,TA/TO,Transient,Non Refund,0,1,0.9971122547995576
25,7,134.3,3.0,0,City Hotel,March,Online TA,TA/TO,Transient,No Deposit,0,1,0.5143440828653577
161,2,127.8,3.0,1,City Hotel,August,Online TA,TA/TO,Transient-Party,No Deposit,0,1,0.3314415948931542
197,4,74.8,2.0,0,City Hotel,February,Direct,Direct,Transient,No Deposit,0,1,0.376861257928963
41,3,103.5,2.0,2,City Hotel,October,Online TA,TA/TO,Contract,No Deposit,0,0,0.1293863180638945
226,5,161.28,3.0,1,City Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,1,0.5809094692486325
76,4,99.0,1.0,1,City Hotel,April,Online TA,TA/TO,Transient,No Deposit,0,0,0.328249453986456
75,3,108.0,2.0,0,City Hotel,April,Online TA,TA/TO,Transient,No Deposit,0,0,0.5257961501348114
168,3,168.3,4.0,0,City Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,1,0.6970615725290137
34,2,120.0,2.0,0,City Hotel,June,Offline TA/TO,TA/TO,Transient,No Deposit,0,0,0.17998360210914557
56,3,85.0,2.0,0,City Hotel,March,Offline TA/TO,TA/TO,Transient,Non Refund,0,1,0.9798522794525446
117,10,137.8,2.0,1,Resort Hotel,June,Online TA,TA/TO,Transient,No Deposit,0,0,0.404889996929078
253,6,89.7,2.0,1,Resort Hotel,May,Online TA,TA/TO,Transient,No Deposit,0,1,0.4873685469635616
228,2,91.51,2.0,1,City Hotel,June,Online TA,TA/TO,Transient,No Deposit,0,0,0.4641532478366693
0,1,50.0,1.0,0,Resort Hotel,February,Direct,Direct,Transient-Party,No Deposit,0,0,0.07620737832165334
77,3,68.04,2.0,1,City Hotel,April,Online TA,TA/TO,Transient,No Deposit,0,0,0.32307923817718126
244,7,8.0,2.0,0,Resort Hotel,September,Groups,TA/TO,Transient-Party,No Deposit,0,1,0.34918057339374853
211,7,133.74,2.0,0,Resort Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,1,0.677866977174545
31,4,237.75,4.0,0,City Hotel,December,Online TA,TA/TO,Transient,No Deposit,0,0,0.6616392237616455
48,4,134.5,2.0,1,City Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,0,0.3418618416612576
94,4,108.0,2.0,0,City Hotel,October,Online TA,TA/TO,Transient,No Deposit,0,1,0.5614778722445671
76,2,130.0,2.0,1,City Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,1,0.33522717476297537
172,6,90.67,2.0,0,City Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,1,0.6529468971594485
257,2,101.5,2.0,0,City Hotel,July,Offline TA/TO,TA/TO,Transient,No Deposit,0,0,0.37887011183362523
